r_mean,g_mean,b_mean,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,grad_mean,grad_std,label
208.0668,144.2793,73.7004,231.1770,226.0297,236.4770,194.2508,201.4589,201.9072,188.7362,189.7395,204.0747,158.0827,162.1717,211.2163,101.9311,115.5205,174.5293,118.1946,106.8576,151.2501,98.8707,86.4011,164.6131,20.8162,37.0323,98.6165,41.7611,34.3917,82.5749,0.046363,0.053843,0
127.6503,87.1222,61.2423,36.0866,150.0278,52.5837,55.9211,182.3136,180.6056,86.0951,179.2261,220.4016,28.4148,86.7551,37.6340,28.3024,98.3931,107.7741,71.7616,127.7771,193.3600,23.5121,44.2231,26.3279,19.9730,46.6429,48.4608,72.6803,98.8947,167.7816,0.049769,0.067879,0
127.1686,116.6751,88.9883,133.8941,186.5422,84.9914,113.0022,127.4202,97.5755,144.9192,137.7885,119.0753,148.1142,197.0902,86.3514,94.3165,105.9929,87.7215,95.7621,117.0831,119.3727,102.4601,167.4597,70.5311,53.5044,75.9135,78.3206,58.6851,77.4239,117.6034,0.075113,0.075565,0
207.9977,187.4219,160.8330,237.1821,222.5818,242.8930,204.5745,163.1560,165.0908,234.3305,202.2685,202.7124,222.1562,204.9437,237.4482,160.5365,119.0014,139.6231,226.0975,187.3499,193.0126,198.3003,173.3478,226.6078,97.8287,63.0688,118.8108,215.7571,166.9679,190.3150,0.028167,0.048617,0
137.7386,129.9952,117.7659,127.3251,134.6196,157.8631,125.1546,138.1069,149.0477,121.9814,124.4560,160.7112,142.8257,122.5502,139.1731,147.0808,89.6019,133.0571,132.4665,115.9405,147.9811,142.8803,116.6966,129.6569,123.5303,80.3301,126.9475,106.8841,99.4387,134.5072,0.036341,0.045966,0
153.0518,128.8156,66.7959,173.1152,131.2883,202.6349,96.2568,132.8702,191.3210,80.6207,176.2524,191.8760,149.8649,119.2549,162.2200,101.4453,118.2159,149.9257,78.3309,124.6943,155.2850,70.3713,61.4676,74.6597,71.7780,61.0346,85.2079,29.3187,62.5873,84.9020,0.040429,0.045694,0
170.6954,126.1909,92.8573,176.1760,201.5764,208.9688,164.7128,182.6098,187.7849,93.5485,158.0912,162.7490,118.3101,155.1886,170.3479,121.0996,130.8452,140.7614,70.8373,119.4601,108.8288,91.7053,131.5144,128.5198,98.4802,95.7031,98.0110,47.4094,76.0331,68.7689,0.080641,0.083982,0
180.4717,135.0573,107.4193,165.9760,179.0212,201.6528,162.3170,153.1720,205.3523,166.7289,181.7832,207.7317,104.5808,118.2008,162.8435,101.6478,114.5736,190.2437,104.8562,140.4744,176.4573,79.5998,87.4898,130.4999,77.9611,80.7907,160.1339,90.1765,106.3909,152.2517,0.045042,0.052194,0
128.0575,107.5255,80.2064,86.0487,159.1314,162.7292,83.7380,77.0473,160.2297,134.8701,133.3668,154.7921,96.4296,121.5656,148.5906,75.1420,72.6093,122.7137,111.1953,99.3973,120.4566,81.8927,96.7611,144.4475,52.3271,37.1478,82.0340,87.5847,56.0819,85.0128,0.079743,0.095323,0
64.4010,50.9127,33.9551,25.4653,44.2694,24.9741,58.2419,139.8707,70.3429,65.1600,97.2848,51.4491,15.0499,32.6188,23.7127,42.5254,101.3651,60.8160,55.7884,72.8168,51.3787,9.1539,17.6046,23.5034,20.0616,59.2347,50.6443,33.3016,44.1600,46.3816,0.034534,0.043022,0
